employee_id,name,department,month,sales_amount,deals_count
E1001,张伟,华东区,1,43112,22
E1001,张伟,华东区,2,158393,19
E1001,张伟,华东区,3,103158,11
E1001,张伟,华东区,4,75580,42
E1001,张伟,华东区,5,251208,7
E1001,张伟,华东区,6,45622,10
E1001,张伟,华东区,7,144629,19
E1001,张伟,华东区,8,294951,43
E1001,张伟,华东区,9,43912,40
E1001,张伟,华东区,10,134248,50
E1001,张伟,华东区,11,249949,19
E1001,张伟,华东区,12,265514,42
E1002,王芳,华南区,1,33407,15
E1002,王芳,华南区,2,251571,26
E1002,王芳,华南区,3,175684,14
E1002,王芳,华南区,4,142886,26
E1002,王芳,华南区,5,83587,10
E1002,王芳,华南区,6,229191,11
E1002,王芳,华南区,7,218208,27
E1002,王芳,华南区,8,168685,7
E1002,王芳,华南区,9,270870,39
E1002,王芳,华南区,10,95444,29
E1002,王芳,华南区,11,71313,40
E1002,王芳,华南区,12,183709,45
E1003,李娜,华南区,1,130814,50
E1003,李娜,华南区,2,66466,7
E1003,李娜,华南区,3,149484,23
E1003,李娜,华南区,4,71833,19
E1003,李娜,华南区,5,82953,29
E1003,李娜,华南区,6,175738,34
E1003,李娜,华南区,7,221277,15
E1003,李娜,华南区,8,224081,27
E1003,李娜,华南区,9,139842,47
E1003,李娜,华南区,10,169973,49
E1003,李娜,华南区,11,67435,43
E1003,李娜,华南区,12,119725,39
E1004,刘洋,华北区,1,115669,34
E1004,刘洋,华北区,2,228943,22
E1004,刘洋,华北区,3,145141,48
E1004,刘洋,华北区,4,200017,8
E1004,刘洋,华北区,5,150087,7
E1004,刘洋,华北区,6,195388,30
E1004,刘洋,华北区,7,170373,9
E1004,刘洋,华北区,8,140615,41
E1004,刘洋,华北区,9,194981,18
E1004,刘洋,华北区,10,291740,30
E1004,刘洋,华北区,11,270570,14
E1004,刘洋,华北区,12,168873,13
E1005,陈静,华北区,1,167752,42
E1005,陈静,华北区,2,254622,42
E1005,陈静,华北区,3,239400,28
E1005,陈静,华北区,4,144987,13
E1005,陈静,华北区,5,297138,36
E1005,陈静,华北区,6,77662,8
E1005,陈静,华北区,7,87487,14
E1005,陈静,华北区,8,113876,48
E1005,陈静,华北区,9,251333,43
E1005,陈静,华北区,10,63306,29
E1005,陈静,华北区,11,230078,43
E1005,陈静,华北区,12,275392,38
E1006,杨帆,华南区,1,36019,48
E1006,杨帆,华南区,2,90058,48
E1006,杨帆,华南区,3,169893,46
E1006,杨帆,华南区,4,208349,12
E1006,杨帆,华南区,5,183878,32
E1006,杨帆,华南区,6,112920,34
E1006,杨帆,华南区,7,31701,21
E1006,杨帆,华南区,8,1500000,16
E1006,杨帆,华南区,9,296171,11
E1006,杨帆,华南区,10,186471,45
E1006,杨帆,华南区,11,296161,43
E1006,杨帆,华南区,12,134286,14
E1007,黄磊,华南区,1,114698,39
E1007,黄磊,华南区,2,30299,43
E1007,黄磊,华南区,3,199951,36
E1007,黄磊,华南区,4,40211,12
E1007,黄磊,华南区,5,220306,24
E1007,黄磊,华南区,6,155541,8
E1007,黄磊,华南区,7,156286,41
E1007,黄磊,华南区,8,71291,10
E1007,黄磊,华南区,9,284798,9
E1007,黄磊,华南区,10,95934,13
E1007,黄磊,华南区,11,279184,40
E1007,黄磊,华南区,12,116574,21
E1008,周宇,华中区,1,141043,39
E1008,周宇,华中区,2,135461,50
E1008,周宇,华中区,3,193429,30
E1008,周宇,华中区,4,225779,33
E1008,周宇,华中区,5,266708,12
E1008,周宇,华中区,6,159973,19
E1008,周宇,华中区,7,63568,26
E1008,周宇,华中区,8,41028,42
E1008,周宇,华中区,9,150646,42
E1008,周宇,华中区,10,145457,5
E1008,周宇,华中区,11,67220,50
E1008,周宇,华中区,12,60866,19
E1009,吴敏,华东区,1,46469,26
E1009,吴敏,华东区,2,67149,37
E1009,吴敏,华东区,3,154782,22
E1009,吴敏,华东区,4,284496,18
E1009,吴敏,华东区,5,99369,41
E1009,吴敏,华东区,6,277815,20
E1009,吴敏,华东区,7,277974,31
E1009,吴敏,华东区,8,129829,11
E1009,吴敏,华东区,9,80819,47
E1009,吴敏,华东区,10,255994,27
E1009,吴敏,华东区,11,252077,31
E1009,吴敏,华东区,12,274855,8
E1010,徐磊,华东区,1,61778,30
E1010,徐磊,华东区,2,207892,11
E1010,徐磊,华东区,3,160367,17
E1010,徐磊,华东区,4,129724,39
E1010,徐磊,华东区,5,265202,13
E1010,徐磊,华东区,6,251187,16
E1010,徐磊,华东区,7,176037,34
E1010,徐磊,华东区,8,160970,9
E1010,徐磊,华东区,9,262328,40
E1010,徐磊,华东区,10,81332,8
E1010,徐磊,华东区,11,37737,10
E1010,徐磊,华东区,12,153930,15
E1011,孙莉,华中区,1,284615,35
E1011,孙莉,华中区,2,142065,30
E1011,孙莉,华中区,3,60741,15
E1011,孙莉,华中区,4,228691,5
E1011,孙莉,华中区,5,234693,21
E1011,孙莉,华中区,6,268555,23
E1011,孙莉,华中区,7,251777,49
E1011,孙莉,华中区,8,285155,14
E1011,孙莉,华中区,9,129561,23
E1011,孙莉,华中区,10,144137,8
E1011,孙莉,华中区,11,61959,25
E1011,孙莉,华中区,12,59971,8
E1012,马超,华中区,1,293638,38
E1012,马超,华中区,2,112540,8
E1012,马超,华中区,3,296248,10
E1012,马超,华中区,4,127425,9
E1012,马超,华中区,5,65631,48
E1012,马超,华中区,6,153314,30
E1012,马超,华中区,7,92855,41
E1012,马超,华中区,8,159087,42
E1012,马超,华中区,9,50836,44
E1012,马超,华中区,10,72982,31
E1012,马超,华中区,11,195868,21
E1012,马超,华中区,12,137090,47
E1013,朱琳,华南区,1,155140,21
E1013,朱琳,华南区,2,237505,13
E1013,朱琳,华南区,3,5000,34
E1013,朱琳,华南区,4,195767,9
E1013,朱琳,华南区,5,34883,34
E1013,朱琳,华南区,6,82418,9
E1013,朱琳,华南区,7,141754,37
E1013,朱琳,华南区,8,169041,13
E1013,朱琳,华南区,9,212981,9
E1013,朱琳,华南区,10,158075,28
E1013,朱琳,华南区,11,179415,15
E1013,朱琳,华南区,12,259734,39
E1014,胡军,华南区,1,34101,47
E1014,胡军,华南区,2,186960,47
E1014,胡军,华南区,3,84309,13
E1014,胡军,华南区,4,168656,12
E1014,胡军,华南区,5,86117,40
E1014,胡军,华南区,6,111499,22
E1014,胡军,华南区,7,177721,43
E1014,胡军,华南区,8,140430,50
E1014,胡军,华南区,9,209768,18
E1014,胡军,华南区,10,168403,37
E1014,胡军,华南区,11,286131,21
E1014,胡军,华南区,12,56633,10
E1015,郭涛,华中区,1,175060,7
E1015,郭涛,华中区,2,31858,26
E1015,郭涛,华中区,3,98587,45
